,Franchise,City,Date,Product,Sales,Target Sales,Profit,Target Profit
131,109,Indore,12/1/2018,Earl Grey,? 16.34,? 18.00,? 8.96,? 9.60
132,109,Indore,1/1/2019,Earl Grey,? 32.30,? 22.50,? -1.68,? 0.00
133,109,Indore,2/1/2019,Earl Grey,? 21.28,? 18.00,? -3.36,? 3.20
134,109,Indore,3/1/2019,Earl Grey,? 18.62,? 22.50,? 3.36,? 6.40
135,109,Indore,4/1/2019,Earl Grey,? 49.78,? 72.00,? 12.04,? 19.20
136,109,Indore,5/1/2019,Earl Grey,? 60.42,? 67.50,? 16.52,? 19.20
137,109,Indore,6/1/2019,Earl Grey,? 33.82,? 31.50,? 0.28,? 3.20
138,109,Indore,7/1/2019,Earl Grey,? 47.50,? 67.50,? 7.56,? 16.00
139,109,Indore,8/1/2019,Earl Grey,? 39.52,? 45.00,? -1.96,? 3.20
140,109,Indore,9/1/2019,Earl Grey,? 34.96,? 31.50,? 3.92,? 3.20
141,109,Indore,10/1/2019,Earl Grey,? 16.34,? 18.00,? 8.68,? 9.60
142,109,Indore,11/1/2019,Earl Grey,? 53.96,? 72.00,? -4.48,? 3.20
143,109,Indore,12/1/2019,Earl Grey,? 16.72,? 13.50,? 3.64,? 3.20
144,109,Indore,1/1/2018,Green Tea,? 31.00,? 25.00,? -31.00,? 0.00
145,109,Indore,2/1/2018,Green Tea,? 10.25,? 10.00,? -27.50,? 5.00
146,109,Indore,3/1/2018,Green Tea,? 25.75,? 20.00,? -32.50,? 0.00
147,109,Indore,4/1/2018,Green Tea,? 29.00,? 22.50,? -22.50,? 7.50
148,109,Indore,5/1/2018,Green Tea,? 21.50,? 15.00,? -29.75,? 2.50
149,109,Indore,6/1/2018,Green Tea,? 10.75,? 10.00,? -22.00,? 10.00
150,109,Indore,7/1/2018,Green Tea,? 37.75,? 35.00,? -18.00,? 17.50
151,109,Indore,8/1/2018,Green Tea,? 19.75,? 15.00,? -30.75,? 2.50
152,109,Indore,9/1/2018,Green Tea,? 13.00,? 10.00,? -26.50,? 7.50
153,109,Indore,10/1/2018,Green Tea,? 16.00,? 12.50,? -28.75,? 2.50
154,109,Indore,11/1/2018,Green Tea,? 23.75,? 20.00,? -25.25,? 5.00
155,109,Indore,12/1/2018,Green Tea,? 19.00,? 17.50,? -30.75,? 2.50
156,109,Indore,1/1/2019,Green Tea,? 25.25,? 17.50,? -34.00,
157,109,Indore,2/1/2019,Green Tea,? 26.00,? 22.50,? -23.75,? 7.50
158,109,Indore,3/1/2019,Green Tea,? 19.75,? 12.50,? -31.50,? 0.00
159,109,Indore,4/1/2019,Green Tea,? 10.75,? 10.00,? -27.25,? 5.00
160,109,Indore,5/1/2019,Green Tea,? 23.50,? 15.00,? -29.25,? 2.50
161,109,Indore,6/1/2019,Green Tea,? 34.50,? 32.50,? -19.75,? 12.50
162,109,Indore,7/1/2019,Green Tea,? 22.50,? 17.50,? -32.50,
163,109,Indore,8/1/2019,Green Tea,? 28.50,? 22.50,? -24.00,? 12.50
164,109,Indore,9/1/2019,Green Tea,? 23.00,? 17.50,? -26.50,? 2.50
165,109,Indore,10/1/2019,Green Tea,? 35.25,? 32.50,? -30.25,? 2.50
166,109,Indore,11/1/2019,Green Tea,? 22.25,? 15.00,? -27.00,? 0.00
167,109,Indore,12/1/2019,Green Tea,? 15.50,? 15.00,? -23.00,? 7.50
168,109,Indore,1/1/2018,Lemon,? 44.10,? 36.30,? -1.68,? 2.80
169,109,Indore,2/1/2018,Lemon,? 39.90,? 29.70,? -2.52,? 2.80
170,109,Indore,3/1/2018,Lemon,? 13.65,? 13.20,? 2.24,? 5.60
171,109,Indore,4/1/2018,Lemon,? 39.55,? 33.00,? -2.80,? 2.80
172,109,Indore,5/1/2018,Lemon,? 39.55,? 29.70,? -3.36,? 2.80
173,109,Indore,6/1/2018,Lemon,? 15.05,? 13.20,? 12.32,? 8.40
174,109,Indore,7/1/2018,Lemon,? 45.50,? 46.20,? -3.36,? 2.80
175,109,Indore,8/1/2018,Lemon,? 30.45,? 23.10,? 3.36,? 2.80
176,109,Indore,9/1/2018,Lemon,? 32.20,? 16.50,? 3.92,? 5.60
177,109,Indore,10/1/2018,Lemon,? 16.80,? 16.50,? 3.36,? 5.60
178,109,Indore,11/1/2018,Lemon,? 15.05,? 13.20,? 8.96,? 8.40
179,109,Indore,12/1/2018,Lemon,? 17.15,? 16.50,? 4.76,? 5.60
180,109,Indore,1/1/2019,Lemon,? 21.35,? 16.50,? 4.76,? 5.60
181,109,Indore,2/1/2019,Lemon,? 16.10,? 13.20,? 13.16,? 8.40
182,109,Indore,3/1/2019,Lemon,? 35.70,? 26.40,? 7.00,? 5.60
183,109,Indore,4/1/2019,Lemon,? 46.20,? 39.60,? 8.68,? 14.00
184,109,Indore,5/1/2019,Lemon,? 37.45,? 33.00,? -1.68,? 2.80
185,109,Indore,6/1/2019,Lemon,? 31.85,? 23.10,? 5.32,? 2.80
186,109,Indore,7/1/2019,Lemon,? 15.75,? 13.20,? 2.80,? 5.60
187,109,Indore,8/1/2019,Lemon,? 28.70,? 19.80,? 2.24,? 5.60
188,109,Indore,9/1/2019,Lemon,? 51.80,? 56.10,? 14.00,? 19.60
189,109,Indore,10/1/2019,Lemon,? 28.35,? 19.80,? 0.00,? 2.80
190,109,Indore,11/1/2019,Lemon,? 22.75,? 16.50,? -2.52,? 0.00
191,109,Indore,12/1/2019,Lemon,? 16.80,? 13.20,? 4.76,? 5.60
192,109,Indore,1/1/2018,Mint,? 19.35,? 16.00,? 17.60,? 11.40
193,109,Indore,2/1/2018,Mint,? 72.00,? 76.00,? 6.40,? 15.20
194,109,Indore,3/1/2018,Mint,? 20.25,? 12.00,? -6.00,
195,109,Indore,4/1/2018,Mint,? 55.80,? 44.00,? 19.20,? 15.20
196,109,Indore,5/1/2018,Mint,? 21.60,? 16.00,? 5.20,? 7.60
197,109,Indore,6/1/2018,Mint,? 19.35,? 16.00,? 17.20,? 11.40
198,109,Indore,7/1/2018,Mint,? 61.65,? 52.00,? 22.80,? 19.00
199,109,Indore,8/1/2018,Mint,? 20.70,? 16.00,? 18.80,? 11.40
200,109,Indore,9/1/2018,Mint,? 46.35,? 32.00,? 7.20,? 7.60
201,109,Indore,10/1/2018,Mint,? 70.20,? 56.00,? 16.80,? 22.80
202,109,Indore,11/1/2018,Mint,? 56.25,? 40.00,? -1.20,? 0.00
203,109,Indore,12/1/2018,Mint,? 33.75,? 24.00,? -1.20,? 3.80
204,109,Indore,1/1/2019,Mint,? 51.30,? 40.00,? -4.00,? 3.80
205,109,Indore,2/1/2019,Mint,? 58.95,? 48.00,? 17.20,? 19.00
206,109,Indore,3/1/2019,Mint,? 63.45,? 68.00,? -13.60,
207,109,Indore,4/1/2019,Mint,? 28.35,? 24.00,? 8.00,? 11.40
208,109,Indore,5/1/2019,Mint,? 21.15,? 20.00,? 4.80,? 7.60
209,109,Indore,6/1/2019,Mint,? 62.55,? 52.00,? 13.60,? 19.00
210,109,Indore,7/1/2019,Mint,? 59.40,? 64.00,? 12.40,? 22.80
211,109,Indore,8/1/2019,Mint,? 57.60,? 36.00,? 19.60,? 22.80
212,109,Indore,9/1/2019,Mint,? 47.70,? 40.00,? -3.20,? 3.80
213,109,Indore,10/1/2019,Mint,? 51.30,? 40.00,? 9.20,? 11.40
214,109,Indore,11/1/2019,Mint,? 19.35,? 16.00,? 17.20,? 11.40
215,109,Indore,12/1/2019,Mint,? 45.90,? 48.00,? -12.40,
216,109,Indore,1/1/2018,Colombian,? 100.00,? 107.00,? 40.00,? 29.00
217,109,Indore,2/1/2018,Colombian,? 100.00,? 107.00,? 10.00,? -7.00
218,109,Indore,3/1/2018,Colombian,? 80.00,? 88.00,? 10.00,? 0.00
219,109,Indore,4/1/2018,Colombian,? 30.00,? 41.00,? 10.00,? 9.00
220,109,Indore,5/1/2018,Colombian,? 40.00,? 48.00,? 20.00,? 16.00
221,109,Indore,6/1/2018,Colombian,? 60.00,? 88.00,? 10.00,? 2.00
222,109,Indore,7/1/2018,Colombian,? 40.00,? 46.00,? 30.00,? 47.00
223,109,Indore,8/1/2018,Colombian,? 150.00,? 116.00,? 10.00,? -39.00
224,109,Indore,9/1/2018,Colombian,? 80.00,? 90.00,? 0.00,? -10.00
225,109,Indore,10/1/2018,Colombian,? 140.00,? 155.00,? 60.00,? 58.00
226,109,Indore,11/1/2018,Colombian,? 120.00,? 150.00,? 0.00,? 3.00
227,109,Indore,12/1/2018,Colombian,? 40.00,? 77.00,? 20.00,? -3.00
228,109,Indore,1/1/2019,Colombian,? 40.00,? 46.00,? 30.00,? 47.00
229,109,Indore,2/1/2019,Colombian,? 140.00,? 130.00,? 50.00,? 40.00
230,109,Indore,3/1/2019,Colombian,? 50.00,? 74.00,? 0.00,? -4.00
231,109,Indore,4/1/2019,Colombian,? 90.00,? 107.00,? 10.00,? -7.00
232,109,Indore,5/1/2019,Colombian,? 100.00,? 120.00,? 40.00,? 45.00
233,109,Indore,6/1/2019,Colombian,? 110.00,? 127.00,? 50.00,? 37.00
234,109,Indore,7/1/2019,Colombian,? 40.00,? 45.00,? 20.00,? 10.00
235,109,Indore,8/1/2019,Colombian,? 60.00,? 69.00,? 10.00,? 11.00
236,109,Indore,9/1/2019,Colombian,? 70.00,? 75.00,? 10.00,? -4.00
237,109,Indore,10/1/2019,Colombian,? 40.00,? 43.00,? 30.00,? 31.00
238,109,Indore,11/1/2019,Colombian,? 80.00,? 113.00,? 0.00,? -10.00
239,109,Indore,12/1/2019,Colombian,? 50.00,? 57.00,? 20.00,? 25.00
240,203,Mumbai,1/1/2018,Cappuccino,? 38.60,? 32.00,? 13.80,? 12.00
241,203,Mumbai,2/1/2018,Cappuccino,? 19.80,? 18.00,? 5.80,? 6.00
242,203,Mumbai,3/1/2018,Cappuccino,? 17.20,? 20.00,? -38.40,
243,203,Mumbai,4/1/2018,Cappuccino,? 142.40,? 178.00,? 55.20,? 80.00
244,203,Mumbai,5/1/2018,Cappuccino,? 151.80,? 178.00,? 82.00,? 80.00
245,203,Mumbai,6/1/2018,Cappuccino,? 61.80,? 42.00,? 38.00,? 22.00
246,203,Mumbai,7/1/2018,Cappuccino,? 129.00,? 160.00,? 49.00,? 72.00
247,203,Mumbai,8/1/2018,Cappuccino,? 17.40,? 20.00,? -27.80,
248,203,Mumbai,9/1/2018,Cappuccino,? 125.60,? 120.00,? 66.20,? 46.00
249,203,Mumbai,10/1/2018,Cappuccino,? 81.60,? 78.00,? 13.80,? 12.00
250,203,Mumbai,11/1/2018,Cappuccino,? 122.40,? 116.00,? 46.00,? 44.00
251,203,Mumbai,12/1/2018,Cappuccino,? 50.80,? 44.00,? 30.60,? 24.00
252,203,Mumbai,1/1/2019,Cappuccino,? 21.80,? 26.00,? -14.80,
253,203,Mumbai,2/1/2019,Cappuccino,? 100.20,? 96.00,? 31.40,? 32.00
254,203,Mumbai,3/1/2019,Cappuccino,? 102.00,? 86.00,? 43.60,? 30.00
255,203,Mumbai,4/1/2019,Cappuccino,? 104.40,? 90.00,? 51.60,? 32.00
256,203,Mumbai,5/1/2019,Cappuccino,? 23.40,? 26.00,? -22.60,
257,203,Mumbai,6/1/2019,Cappuccino,? 39.60,? 26.00,? 16.80,? 14.00
258,203,Mumbai,7/1/2019,Cappuccino,? 52.40,? 40.00,? 31.80,? 20.00
259,203,Mumbai,8/1/2019,Cappuccino,? 38.40,? 44.00,? -29.80,
260,203,Mumbai,9/1/2019,Cappuccino,? 101.80,? 86.00,? 44.20,? 32.00
261,203,Mumbai,10/1/2019,Cappuccino,? 38.00,? 32.00,? 13.40,? 12.00
262,203,Mumbai,11/1/2019,Cappuccino,? 84.60,? 82.00,? 25.80,? 28.00
263,203,Mumbai,12/1/2019,Cappuccino,? 51.80,? 32.00,? 31.40,? 18.00
264,203,Mumbai,1/1/2018,Caffe Latte,? 153.30,? 98.00,? 61.10,? 48.00
265,203,Mumbai,2/1/2018,Caffe Latte,? 137.90,? 119.00,? 64.35,? 42.00
266,203,Mumbai,3/1/2018,Caffe Latte,? 88.90,? 105.00,? -78.65,
267,203,Mumbai,4/1/2018,Caffe Latte,? 356.30,? 315.00,? 143.65,? 90.00
268,203,Mumbai,5/1/2018,Caffe Latte,? 92.40,? 77.00,? 27.95,? 30.00
269,203,Mumbai,6/1/2018,Caffe Latte,? 98.70,? 77.00,? 41.60,? 30.00
270,203,Mumbai,7/1/2018,Caffe Latte,? 115.50,? 140.00,? -122.85,
271,203,Mumbai,8/1/2018,Caffe Latte,? 76.30,? 84.00,? -85.15,
272,203,Mumbai,9/1/2018,Caffe Latte,? 74.20,? 91.00,? -54.60,
273,203,Mumbai,10/1/2018,Caffe Latte,? 159.60,? 105.00,? 87.75,? 48.00
274,203,Mumbai,11/1/2018,Caffe Latte,? 159.60,? 105.00,? 87.75,? 48.00
275,203,Mumbai,12/1/2018,Caffe Latte,? 133.00,? 105.00,? 59.80,? 36.00
276,203,Mumbai,1/1/2019,Caffe Latte,? 319.20,? 280.00,? 105.30,? 102.00
277,203,Mumbai,2/1/2019,Caffe Latte,? 268.80,? 259.00,? 40.30,? 36.00
278,203,Mumbai,3/1/2019,Caffe Latte,? 179.20,? 154.00,? 72.15,? 72.00
279,203,Mumbai,4/1/2019,Caffe Latte,? 163.80,? 140.00,? 66.30,? 60.00
280,203,Mumbai,5/1/2019,Caffe Latte,? 373.80,? 336.00,? 151.45,? 96.00
281,203,Mumbai,6/1/2019,Caffe Latte,? 343.00,? 315.00,? 113.10,? 96.00
282,203,Mumbai,7/1/2019,Caffe Latte,? 156.10,? 105.00,? 62.40,? 48.00
283,203,Mumbai,8/1/2019,Caffe Latte,? 396.90,? 357.00,? 189.80,? 114.00
284,203,Mumbai,9/1/2019,Caffe Latte,? 158.90,? 98.00,? 87.75,? 48.00
285,203,Mumbai,10/1/2019,Caffe Latte,? 476.70,? 455.00,? 235.30,? 150.00
286,203,Mumbai,11/1/2019,Caffe Latte,? 76.30,? 105.00,? -48.10,
287,203,Mumbai,12/1/2019,Caffe Latte,? 270.90,? 259.00,? 29.25,? 36.00
288,203,Mumbai,1/1/2018,Regular Espresso,? 73.20,? 90.00,? -64.35,
289,203,Mumbai,2/1/2018,Regular Espresso,? 280.20,? 246.00,? 90.75,? 102.00
290,203,Mumbai,3/1/2018,Regular Espresso,? 431.40,? 504.00,? 211.20,? 222.00
291,203,Mumbai,4/1/2018,Regular Espresso,? 139.20,? 120.00,? 55.00,? 60.00
292,203,Mumbai,5/1/2018,Regular Espresso,? 319.20,? 306.00,? 91.85,? 102.00
293,203,Mumbai,6/1/2018,Regular Espresso,? 118.80,? 78.00,? 45.65,? 42.00
294,203,Mumbai,7/1/2018,Regular Espresso,? 292.20,? 258.00,? 116.05,? 90.00
295,203,Mumbai,8/1/2018,Regular Espresso,? 178.80,? 168.00,? 14.85,? 18.00
296,203,Mumbai,9/1/2018,Regular Espresso,? 348.60,? 312.00,? 165.00,? 120.00
297,203,Mumbai,10/1/2018,Regular Espresso,? 69.60,? 90.00,? -60.50,
298,203,Mumbai,11/1/2018,Regular Espresso,? 113.40,? 72.00,? 31.90,? 30.00
299,203,Mumbai,12/1/2018,Regular Espresso,? 345.60,? 330.00,? 118.80,? 126.00
300,203,Mumbai,1/1/2019,Regular Espresso,? 169.20,? 126.00,? 94.05,? 72.00
301,203,Mumbai,2/1/2019,Regular Espresso,? 174.00,? 162.00,? 14.30,? 18.00
