Order ID,Customer ID,Location Id,Order Date
MO-2016-LP708086-40935,LP-708086,MorocRabatRabat,1/27/2016
IN-2016-PO1886527-40935,PO-1886527,ChinaGuangShenzhen,1/27/2016
IN-2016-KN1645027-40935,KN-1645027,ChinaShandJinan,1/27/2016
ID-2016-DB1336059-40935,DB-1336059,IndonKalimSamarinda,1/27/2016
EZ-2016-RA994532-40935,RA-994532,CzechOlomoOlomouc,1/27/2016
CT-2016-TS1137024-40935,TS-1137024,CentrBanguBangui,1/27/2016
CA-2016-CA11965140-40935,CA-119651402,UniteSouthRapid City,1/27/2016
US-2016-EJ13720140-40936,EJ-137201404,UniteCalifSan Diego,1/28/2016
IT-2016-HF1499545-40936,HF-1499545,FrancProveDraguignan,1/28/2016
IN-2016-JR157007-40936,JR-157007,AustrQueenGold Coast,1/28/2016
ID-2016-MP1796559-40936,MP-1796559,IndonJawa Semarang,1/28/2016
US-2016-RP1939018-40937,RP-1939018,BraziSão PRegistro,1/29/2016
US-2016-RP19390143-40937,RP-19390143,VenezLaraBarquisimeto,1/29/2016
CA-2016-JC15340140-40937,JC-153401406,UniteNew YNew York City,1/29/2016
BN-2016-NB865515-40937,NB-865515,BeninLittoCotonou,1/29/2016
NI-2016-DP316595-40938,DP-316595,NigerKanoKano,1/30/2016
NI-2016-AG90095-40938,AG-90095,NigerKanoKano,1/30/2016
ID-2016-HE1480092-40938,HE-1480092,New ZAucklWaitakere,1/30/2016
US-2016-DK1283536-40939,DK-1283536,DominSantoSanto Domingo,1/31/2016
MX-2016-CM1216093-40939,CM-1216093,NicarEstelEstelí,1/31/2016
MO-2016-BD177086-40939,BD-177086,MorocMarraMarrakech,1/31/2016
IN-2016-TS2161092-40939,TS-2161092,New ZWelliParaparaumu,1/31/2016
IN-2016-SF2020027-40939,SF-2020027,ChinaChongChongqing,1/31/2016
IN-2016-LS172007-40939,LS-172007,AustrVictoMelbourne,1/31/2016
IN-2016-BD11560113-40939,BD-11560113,SingaSingaSingapore,1/31/2016
CA-2016-MV18190140-40939,MV-181901402,UniteMichiDetroit,1/31/2016
US-2016-DH1307598-40940,DH-1307598,PanamPanamSan Miguelito,2/1/2016
IR-2016-PO885060-40940,PO-885060,IranRazavMashhad,2/1/2016
IN-2016-PO1886511-40940,PO-1886511,BanglDhakaDhaka,2/1/2016
IN-2016-DK1315027-40940,DK-1315027,ChinaChongChongqing,2/1/2016
ID-2016-SP2065027-40940,SP-2065027,ChinaHubeiYingcheng,2/1/2016
ES-2016-RR1931564-40940,RR-1931564,ItalyEmiliParma,2/1/2016
ES-2016-IM1505548-40940,IM-1505548,GermaNorthHalle,2/1/2016
ES-2016-GH1448545-40940,GH-1448545,FrancAquitLa Rochelle,2/1/2016
CA-2016-LC17050140-40940,LC-170501404,UniteCalifMission Viejo,2/1/2016
AO-2016-DK31504-40940,DK-31504,AngolLuandLuanda,2/1/2016
IT-2016-EH1418545-40941,EH-1418545,FrancAlsacReims,2/2/2016
IT-2016-EB1384048-40941,EB-1384048,GermaBavarRosenheim,2/2/2016
IN-2016-ES1408027-40941,ES-1408027,ChinaHenanYunyang,2/2/2016
IN-2016-DN136907-40941,DN-136907,AustrNew SPort Macquarie,2/2/2016
ID-2016-GD14590130-40941,GD-14590130,ThailBangkBangkok,2/2/2016
ES-2016-LO17170120-40941,LO-17170120,SpainValenTorrevieja,2/2/2016
ES-2016-KL16645120-40941,KL-16645120,SpainCatalBarcelona,2/2/2016
ES-2016-KH1663048-40941,KH-1663048,GermaSaxonDresden,2/2/2016
ES-2016-JM15580139-40941,JM-15580139,UniteEnglaLondon,2/2/2016
ES-2016-EB13705120-40941,EB-13705120,SpainAndalSeville,2/2/2016
CA-2016-BD11500140-40941,BD-115001402,UniteWiscoGreen Bay,2/2/2016
NI-2016-DB321095-40942,DB-321095,NigerLagosLagos,2/3/2016
IT-2016-ML17755124-40942,ML-17755124,SwedeUppsaUppsala,2/3/2016
IN-2016-TS2116027-40942,TS-2116027,ChinaGuizhZunyi,2/3/2016
CA-2016-EB13930140-40942,EB-139301408,UniteFloriSaint Petersburg,2/3/2016
CA-2016-CD12790140-40942,CD-127901404,UniteCalifSan Diego,2/3/2016
AO-2016-SW104554-40942,SW-104554,AngolLuandLuanda,2/3/2016
SF-2016-TS11430117-40943,TS-11430117,SouthGauteJohannesburg,2/4/2016
NI-2016-AS63095-40943,AS-63095,NigerLagosLagos,2/4/2016
IN-2016-CC1237092-40943,CC-1237092,New ZWelliLower Hutt,2/4/2016
ES-2016-DD1357045-40943,DD-1357045,FrancProveNice,2/4/2016
ES-2016-BT1148545-40943,BT-1148545,FrancAuverGrenoble,2/4/2016
CA-2016-TB21400140-40943,TB-214001404,UniteWashiSeattle,2/4/2016
TU-2016-AW840134-40944,AW-840134,TurkeGaziaGaziantep,2/5/2016
CA-2016-MH17440140-40944,MH-174401404,UniteCalifEscondido,2/5/2016
CA-2016-DB13270140-40944,DB-132701404,UniteCalifSan Diego,2/5/2016
TU-2016-JM6195134-40945,JM-6195134,TurkeAydinAydin,2/6/2016
IN-2016-NW1840078-40946,NW-1840078,MalaySarawKuching,2/7/2016
IN-2016-LT1711059-40946,LT-1711059,IndonJawa Bekasi,2/7/2016
IN-2016-DB1366027-40946,DB-1366027,ChinaJiangZhenjiang,2/7/2016
ID-2016-SW2027592-40946,SW-2027592,New ZAucklAuckland,2/7/2016
ES-2016-SM2090545-40946,SM-2090545,FrancNord-Boulogne-sur-Mer,2/7/2016
ES-2016-GB1453045-40946,GB-1453045,FrancProveLa Crau,2/7/2016
CA-2016-ND18460140-40946,ND-184601408,UniteVirgiChesapeake,2/7/2016
CA-2016-DL13315140-40946,DL-133151402,UniteIllinRomeoville,2/7/2016
US-2016-CS12250140-40947,CS-122501406,UniteNew YNew York City,2/8/2016
MX-2016-KW1657026-40947,KW-1657026,ChileSantiSantiago,2/8/2016
IZ-2016-JB604561-40947,JB-604561,IraqNinawMosul,2/8/2016
IN-2016-BP1109527-40947,BP-1109527,ChinaGuangJiangmen,2/8/2016
ES-2016-SW2045564-40947,SW-2045564,ItalyTuscaSiena,2/8/2016
ES-2016-EB1375045-40947,EB-1375045,FrancAlsacMulhouse,2/8/2016
EG-2016-KW657038-40947,KW-657038,EgyptAl QaCairo,2/8/2016
CA-2016-CK12760140-40947,CK-127601406,UniteNew JLinden,2/8/2016
MX-2016-TP2141531-40948,TP-2141531,CubaSanctSancti Spíritus,2/9/2016
MX-2016-ST2053031-40948,ST-2053031,CubaGranmBayamo,2/9/2016
MX-2016-LT1711082-40948,LT-1711082,MexicDistrMexico City,2/9/2016
IT-2016-YC21895139-40948,YC-21895139,UniteEnglaLondon,2/9/2016
ID-2016-EH140057-40948,EH-140057,AustrQueenCaloundra,2/9/2016
ID-2016-DR12940118-40948,DR-12940118,SouthDaejeDaejeon,2/9/2016
ES-2016-NG1835591-40948,NG-1835591,NetheOveriAlmelo,2/9/2016
ES-2016-HR14770120-40948,HR-14770120,SpainCatalBarcelona,2/9/2016
ES-2016-CL1256548-40948,CL-1256548,GermaHesseFrankfurt,2/9/2016
CA-2016-NM18445140-40948,NM-184451404,UniteNevadNorth Las Vegas,2/9/2016
UG-2016-MO7500136-40949,MO-7500136,UgandKampaKampala,2/10/2016
SF-2016-JH5820117-40949,JH-5820117,SouthEastePort Elizabeth,2/10/2016
MX-2016-QJ1925582-40949,QJ-1925582,MexicCoahuMonclova,2/10/2016
MD-2016-PO918083-40949,PO-918083,MoldoChisiChisinau,2/10/2016
IT-2016-PL1892548-40949,PL-1892548,GermaLowerHanover,2/10/2016
IN-2016-FO1430578-40949,FO-1430578,MalayPahanKuantan,2/10/2016
ID-2016-ME1801027-40949,ME-1801027,ChinaHubeiWuhan,2/10/2016
ID-2016-CA1196566-40949,CA-1196566,JapanShizuFuji,2/10/2016
ES-2016-MO1780048-40949,MO-1780048,GermaNorthBielefeld,2/10/2016
ES-2016-ME18010120-40949,ME-18010120,SpainMadriCoslada,2/10/2016
ES-2016-JP15460125-40949,JP-15460125,SwitzBaselBasel,2/10/2016
ES-2016-CM1211545-40949,CM-1211545,FrancProveMarseille,2/10/2016
ZA-2016-AH690147-40950,AH-690147,ZimbaBulawBulawayo,2/11/2016
MX-2016-SN2071018-40950,SN-2071018,BraziParanCuritiba,2/11/2016
IR-2016-LD700560-40950,LD-700560,IranGilanRasht,2/11/2016
IN-2016-SP2086058-40950,SP-2086058,IndiaKarnaBangalore,2/11/2016
MO-2016-EM396086-40951,EM-396086,MorocGrandCasablanca,2/12/2016
IN-2016-MG1789058-40951,MG-1789058,IndiaTelanHyderabad,2/12/2016
CA-2016-NF18385140-40951,NF-183851408,UniteVirgiChesapeake,2/12/2016
CA-2016-GA14725140-40951,GA-147251402,UniteMissoColumbia,2/12/2016
US-2016-SC20095140-40952,SC-200951404,UniteCalifConcord,2/13/2016
SG-2016-TC11295111-40953,TC-11295111,SenegDakarDakar,2/14/2016
RS-2016-TB11280108-40953,TB-11280108,RussiKalugKaluga,2/14/2016
RS-2016-MM8280108-40953,MM-8280108,RussiBashkUfa,2/14/2016
NG-2016-JC534094-40953,JC-534094,NigerNiameNiamey,2/14/2016
MX-2016-LB1679531-40953,LB-1679531,CubaHolguHolguín,2/14/2016
IN-2016-TG2131027-40953,TG-2131027,ChinaLiaonAnshan,2/14/2016
IN-2016-KB164057-40953,KB-164057,AustrNew SDubbo,2/14/2016
IN-2016-DB1327056-40953,DB-1327056,Hong Hong Kowloon,2/14/2016
ES-2016-HA14920120-40953,HA-14920120,SpainValenElda,2/14/2016
SF-2016-PA9060117-40954,PA-9060117,SouthGauteJohannesburg,2/15/2016
IT-2016-TP21565120-40954,TP-21565120,SpainAndalSeville,2/15/2016
IT-2016-GZ1447091-40954,GZ-1447091,NetheOveriHardenberg,2/15/2016
IN-2016-JE1547566-40954,JE-1547566,JapanSaitaKawagoe,2/15/2016
ID-2016-CM12385102-40954,CM-12385102,PhiliNatioManila,2/15/2016
CG-2016-TB1162533-40954,TB-1162533,DemocKinshKinshasa,2/15/2016
CA-2016-ST20530140-40954,ST-205301402,UniteTexasHouston,2/15/2016
CA-2016-ML17395140-40954,ML-173951404,UniteWashiSeattle,2/15/2016
MX-2016-TZ2158093-40955,TZ-2158093,NicarManagManagua,2/16/2016
MX-2016-MH1762031-40955,MH-1762031,CubaGuantGuantánamo,2/16/2016
IT-2016-ON1871545-40955,ON-1871545,FrancLanguMuret,2/16/2016
IN-2016-BW111107-40955,BW-111107,AustrSouthMount Gambier,2/16/2016
IN-2016-BF1121558-40955,BF-1121558,IndiaUttarKanpur,2/16/2016
ES-2016-RW1963045-40955,RW-1963045,FrancLanguMontpellier,2/16/2016
CA-2016-BF11020140-40955,BF-110201404,UniteWashiSeattle,2/16/2016
ZA-2016-KW6435147-40956,KW-6435147,ZimbaHararChitungwiza,2/17/2016
NI-2016-RD972095-40956,RD-972095,NigerLagosLagos,2/17/2016
MX-2016-ED1388551-40956,ED-1388551,GuateGuateMixco,2/17/2016
IN-2016-LA1678027-40956,LA-1678027,ChinaHeiloMudanjiang,2/17/2016
ID-2016-LB16795130-40956,LB-16795130,ThailBangkBangkok,2/17/2016
CA-2016-MN17935140-40956,MN-179351402,UniteTexasDallas,2/17/2016
IN-2016-RD1990058-40957,RD-1990058,IndiaRajasJaipur,2/18/2016
IN-2016-ML180407-40957,ML-180407,AustrQueenBrisbane,2/18/2016
IN-2016-JR156707-40957,JR-156707,AustrVictoMelbourne,2/18/2016
ID-2016-CM12160118-40957,CM-12160118,SouthSeoulSeoul,2/18/2016
ES-2016-KH1663045-40957,KH-1663045,FrancBourgBeaune,2/18/2016
ES-2016-DL1292548-40957,DL-1292548,GermaNorthCastrop-Rauxel,2/18/2016
ES-2016-AB1016545-40957,AB-1016545,FrancIle-dParis,2/18/2016
CA-2016-SN1056023-40957,SN-1056023,CanadOntarToronto,2/18/2016
CA-2016-DL13315140-40957,DL-133151402,UniteIllinChicago,2/18/2016
US-2016-TB21595140-40958,TB-215951402,UniteTexasLubbock,2/19/2016
IN-2016-LT1676558-40958,LT-1676558,IndiaTelanWarangal,2/19/2016
CA-2016-AB10015140-40958,AB-100151402,UniteTexasArlington,2/19/2016
IT-2016-SJ20215125-40960,SJ-20215125,SwitzZüricZurich,2/21/2016
IN-2016-SC2002066-40960,SC-2002066,JapanTokyoTokyo,2/21/2016
IN-2016-JL158507-40960,JL-158507,AustrSouthAdelaide,2/21/2016
